,Pname,Desc.,RC,CA
41, Nefopam Hydrochloride 30mg,"The proposed deviation is to release the finished packed samples ofNefopam Hydrochloride
30mg Film-coated Tablets prior to completion of microbial study to avoid the delay in the
dispatch of commercial batches. ",['unknown'], test for Microbial enumeration test to be performed as a part of release criteria for finished product.
42,pre-elatinized starch,pre-elatinized starch dry binder and disintegrant nefopam hyfrochloride tablets 30mg no stock exsit with Anshul agencies and also lead time for procurment is high.Hence primegen was suggested to produce the required quality of pregelatinized starch.,"['amount', 'Quantative for.']",
43,Nefopam Hydrochloride 30mg ," materials have been sampled as per SOP and analysis is ongoing. They have been
tested with respect to Test for Description and identification and results are found to be within the
specified range. All tests including description and identification test as per manufacturer's COA was found
complies with the specification limit. However analysis is to be completed before the Final Product are been dispatched",['unknown'],"As per procedure, initiation of manufacturing activity for any product should be commenced after QC
approval and release of all the raw materials involved in that particular product. "
44,Nefopam Hydrochloride 30 mg,"Inspection of Coated tablets for above mentioned batches to be started lot wise prior to
completion of complete batch coating. 
 In order to utilize the manufacturing and packing equipments and to meet the dispatch
schedule,if found to be complies within the specified limit coating activity will be
initiated.
QC analysis trend for the previous batches coated tablets of the product
Nefopam Hydrochloride 30 mg Film-coated Tables were evaluated and found satisfactory","['spec. Als.', 'Product Spec.', 'procedure  als.']",Inspection of Coated tablets should be commenced after completion of all lots coating 
45,Nefopam hydrochloride 30mg ,"We propose to dispatch Nefopam hydrochloride 30mg film coated tablet,  to be
released for dispatch prior to completion of microbial limit test of finished packed sample.
Chemical analysis for the above Nefopam hydrochloride 30mg film coated tablet  has
been completed and found satisfactory. Microbial analysis for the same is under progress as per below
details previous batches ofNefopam hydrochloride 30mg film coated tablet for Microbial enumeration test were evaluated ·and found satisfactory ","['Analysis', 'unknown']",
46,magnesium stearate,"magnesium stearte was not analyzed as per the correct method of analysis as  per the conect method of analysis As per method of analysis, PSD should be performed  by Coulter counter method bud Malvern Masterizer  was followed incorrectly for the estination of PSD.","['Analysis', 'Procedure', 'training']",Availability of coulter instruments was checked with other external labs. An equivalency data was evaluated between coulter instrument and analysis done on Malven.
47,Neofpam Hydrochloride 30 mg,while performance of sealing temperature challenge study as per the packing validation study is blister packing machine for the above batch the sealing of blister was found to be improper due to sticking of forming foil at optimum forming temperature at 130 degress ,"['Breakdown/failure', 'calibrating']",the blister packing has been stopped and the observed discrepancy has been initimated to all relevant
48,liothyimine sodium,"quantity available for the above mentioned batches is less , planned deviation is colectively decided by FD,
manufacturing and quality teams to proceed with reduced sample quality so that balance quantity available manufacturing  ","['Quantative for.', 'amount']",
49,liothyronine  soduim,"IPQA in process challenge test for camera system failed during alu - alu blister packing of liothyronine  soduim 20 mg tablets 
camera system was not working properly due to manufacturing of camera system
packing activity stopped and affcted quarantined and kept on hold liothyronine  soduim 20 mg tablets ","['Breakdown/failure', 'qualification']",
50,liothyronine sodium ,analysis of drug product liothyronine sodium  was not completed within  the specified time of 7 days due to the urgency for analysis of other drug products ,['unknown'],
51,Diethystibestrol,During the compiltion of hold time report  it was observed that the dissolution and  hardness test was  not performed at 30 day hold time as per approved protocol,['training'],
